@relation Dataset_soal_bhs_indo_sd_completed-REV1-b

@attribute jenissoal {Memaknai,Sinonim/Antonim,Membaca,Analisa,Paragraf,Membandingkan,Melengkapi,Sastra,Mengurutkan,'Tata Penulisan',Iklan/Laporan/Pidato}
@attribute uraiansoal string
@attribute pertanyaansoal string
@attribute opsi1soal string
@attribute opsi2soal string
@attribute opsi3soal string
@attribute opsi4soal string
@attribute kuncijawabansoal string
@attribute kategorisoal {Mudah,Sedang,Sulit}

@data
Memaknai,'Gemar berolah raga merupakan gaya hidup sehat yang harus di biasakan sejak usia dini. Tujuannya adalah agar di masa mendatang tubuh kita menjadi sehat dan tidak gampang terkena penyakit. Semakin tua tubuh kita secara otomatis daya tahannya akan semakin menurun. Dengan sering olah raga akan menghambat penurunan daya tahan tersebut.','Semakin tua tubuh kita secara otomatis daya tahannya akan semakin menurun. Arti kata yang bergaris bawah dalam kalimat di atas adalah ....','langsung terjadi','tak dapat dihindari','kejadian secara tiba-tiba','berlangsung dengan sendirinya','berlangsung dengan sendirinya',Mudah
Memaknai,'Di waktu luang kita dapat belajar dengan teman-teman.','Arti kata pengganti dalam kalimat ini adalah �',Istirahat,'Lubang itu',Tenanglah,gratis,Istirahat,Mudah
Memaknai,'Efek radiasi nuklir tidak terjadi dengan cara ini. Hanya jika terjadi ledakan atau kebocoran. Sebenarnya, tubuh manusia memiliki sistem kekebalan untuk melindungi kerusakan sel yang diakibat radiasi atau bahan kimia berbahaya lainnya. Namun, radiasi Sampai taraf tertentu, itu tidak bisa ditoleransi melalui tubuh. Inilah alasan berbagai efek negatif radiasi nuklir.','Arti dari kata radiasi dalam paragraf di atas adalah �','emisi gelombang','arus listrik','sistem power supply','ledakan udara','emisi gelombang',Mudah
Memaknai,'Kita bisa memanfaatkan pekarangan kita jadi warung hidup. Tanaman sayuran dapat kita tanam untuk konsumsi sayur setiap hari. Selain bisa menghemat belanja sayur, kita mendapatkan kesegaran hijauan tanaman sayuran. Apabila hasil tanaman sayuran melimpah, kita bisa menjualnya.','Makna kata warung hidup pada paragraf tersebut adalah ....','Warung yang menjual bermacam-macam sayuran.','Pekarangan rumah yang dijadikan warung keluarga.','Menjual hasil tanaman sayuran ke warungsekitar rumah.','Memanfaatkan sebagian tanah pekarangan untuk menanam sayuran.','Memanfaatkan sebagian tanah pekarangan untuk menanam sayuran.',Mudah
Memaknai,'Kemacetan kendaraan bermotor tidak hanya terjadi di Ibukota Jakarta saja. Kota kecil seperti Yogyakarta sudah mengalami kemacetan yang cukup parah. Pada jam-jam sibuk kemacetan semakin terasa bagi pengguna jalan di kota ini. Pemerintah Daerah Yogyakarta belim menemukan solusi kemacetan tersebut. Pemerintah Daerah Yogyakarta belim menemukan solusi kemacetan tersebut.','Makna kata solusi pada paragraf tersebut adalah ....','jalan masalah','jalan pikiran','jalan keluar','jalan pintas','jalan keluar',Mudah
Memaknai,' Induk Ayam dan Burung Elang hidup berdampingan dengan rukun. Keduanya saling menolong dalam keseharian. Suatu hari Induk Ayam mendatangi Elang. Malam itu; Induk Ayam mendapat undangan pesta. Ia bermaksud meminjam cincin yang indah milik elang. Sambil menyerahkan cincin; Elang berpesan;  $Hati-hati; benda ini sangat berharga bagiku. Kalau hilang; nyawa anak-anakmu sebagai jaminannya. $ Induk Ayam sangat menikmati pesta yang meriah itu. Ia menjadi pusat perhatian kaum ayam. Semua mengagumi cincin yang dipakainya. Ia menari mengikuti alunan musik bersama teman-temannya. Semaraknya suasna membuat Induk Ayam lupa pada anak serta cincin di cakarnya. Karena lelah; ia terlelap tidur. Keesokan hari; ia teringat pada cincin Burung Elang. Induk Ayam menengok kakinya.  $Hah; celaka aku! $ Dengan panik; dikoreknya setiap gundukan tanah. Ia mencari-cari cincin itu. Karena lelah; akhirnya ia melapor kepada Burung Elang. Burung Elang sangat murka. Ia mengancam akan mengambil anak-anak ayam. Sampai kini; induk ayam masih terus mengais tanah. Ia berusaha melindungi anak-anaknya dari buruan elang.  Induk Ayam menengok kakinya; $Hah; celaka aku! $ ',' Maksud pernyataan dalam penggalan cerita tersebut adalah ....',' induk ayam mengalami kehilangan saat pesta malam itu   ',' cincin yang dipakai induk ayam hilang dari cakarnya   ',' induk ayam terkejut karena cincin yang dipakainya musnah   ','burung elang mengancam induk ayam yang menghilangkan cincin',' induk ayam terkejut karena cincin yang dipakainya musnah   ',Sedang
Memaknai,' Jeko pergi ke hutan malam itu; ia mernakai topeng. Jeko memanjat pohon dengan rnembawa jaring untuk menangkap Goji; gajah sahabatnya. Jeko akan mengambil gading milik Goji Gading tersebut akan dijualnya. Tak larna kemudian; Goji dan Monyi. monvet kecil lewat. jeko bersiap-siap melempar jaringnya. Tiba-tiba; ranting yang dipanjat Jeko patah. la jatuh. Jeko mengalami luka-Iuka. Monyi segera menolong Jeko. Monyi membuka topeng Jeko. Goji dan Monyi mengantarkan Jeko pulang ke rurnah Jeko. Jeko kecewa tefah berniat jahat kepada Goji. Setelah sampai di rumah Jeko; Monyi segera mengobati luka Jeko. Pagi harinya; Goji mencarikan buah-buahan untuk Jeko. Sejak saat itu Jeko berjanji akan menyayangi Goji dan Monyi;',' Maksud pernyataan yang dicetak tebal pada cerita tersebut adalah',' Jeko kecewa tidak dapat berbuat baik kepada Goji sahabatnya.',' Jeko menyesal akan mengambil gading milik Goji; gajah sahabatnya.',' Goji kecewa mengetahui niat jahat Jeko yang akan mengambil gadingnya.',' Goji menyesalkan sikap Jeko; sahabat baiknya; yang akan mencelakainya',' Jeko menyesal akan mengambil gading milik Goji; gajah sahabatnya.',Sedang
Memaknai,'Petani  Dinginnya pagi tak kau rasakan Kau tanggalkan selimut Melangkah pasti menuju tanah garapan Agar kami tak kelaparan','Kata tanggalkan pada puisi di atas maknanya ....',melepas,membuka.,melucuti.,membongkar,melepas,Sedang
Memaknai,'Baca sajak berikut! Ambil sapu dekat pagar Juga bersihkan halaman Baca buku dengan tekun untuk belajar Perilaku itu juga dilestarikan','Maksud dari sajak tersebut adalah','Kita harus rajin membaca buku jadilah cerdas.','Kita tidak hanya harus membaca buku, kita juga harus berjaga jaga Perilaku.','Karena buku adalah gudang pengetahuan, kita harus belajar dengan sungguh-sungguh.','Perilaku harus dijaga agar tetap hidup kaya.','Karena buku adalah gudang pengetahuan, kita harus belajar dengan sungguh-sungguh.',Sedang
Memaknai,' Buku Kau adalah jendela ilmu Bagaikan penerang jiwa ku Tanpamu aku tak tahu Warna dunia di alam semesta ini',' Makna dari kata kias  $jendela $ yang terdapat di dalam puisi diatas adalah  $.',' Kemampuan   ',' Wawasan   ',' Pengalaman   ',Wahana,' Wawasan   ',Sulit
Memaknai,' Perhatikan syair berikut! Hati sedih jadi bahagia Lihat ibu mulai tertawa Ayah pulang dari kota Bawa berlian merah muda ','Makna kata kias merah pada syair di atas adalah ....',' Indah   ',' Bagus   ',' Mahal   ',Mewah,Mewah,Sulit
Sinonim/Antonim,' Suara radio tetangga sebelah sangat keras pada malam hari.',' Antonim kata keras pada kalimat tersebut adalah',' pelan',' lunak',' kaku',' kencang',' pelan',Mudah
Sinonim/Antonim,' Harrnan telah rnemenangkan pertandingan bulu tangkis tingkat kecamatan tiga kali berturut�turut. la jemawa dengan prestasi yang diperolehnya.',' Sinonim kata yang dicetak tebal adalah',' teledor',' angkuh',' gegabah',' culas',' angkuh',Mudah
Sinonim/Antonim,' Pohon itu kelihatan pendek.',' Antonim kata pendek dalam kalimat tersebut adalah ....',' besar   ',' tinggi   ',' panjang   ',rimbun,' tinggi   ',Mudah
Sinonim/Antonim,'Siswa yang berprestasi mendapat hadiah dari bapak/ibu guru. ','Antonim kata hadiah adalah ....',' Celaan   ',' Teguran   ',' Hukuman   ',Peringatan,' Hukuman   ',Mudah
Sinonim/Antonim,'Asrnan tergolong anak bongsor di kelasnya. ','Antonim kata bongsor pada kalimat tersebut adalah',' kerdil',' kecil',' pendek',' kurus',' kerdil',Mudah
Sinonim/Antonim,'Gemar berolah raga merupakan gaya hidup sehat yang harus di biasakan sejak usia dini. Tujuannya adalah agar di masa mendatang tubuh kita menjadi sehat dan tidak gampang terkena penyakit. Semakin tua tubuh kita secara otomatis daya tahannya akan semakin menurun. Dengan sering olah raga akan menghambat penurunan daya tahan tersebut.','Dengan sering olah raga akan menghambat penurunan daya tahan tersebut. Antonim kata menghambat adalah . . .',memperlancar,mempengaruhi,menyebabkan,menghalangi,memperlancar,Mudah
Sinonim/Antonim,'Jadi pengetahuan yang kita dapat akan meningkat.','Antonim dari kata meningkat adalah �',berlubang,dikurangi,Sedikit,menurun,menurun,Mudah
Sinonim/Antonim,'Efek radiasi nuklir tidak terjadi dengan cara ini. Hanya jika terjadi ledakan atau kebocoran. Sebenarnya, tubuh manusia memiliki sistem kekebalan untuk melindungi kerusakan sel yang diakibat radiasi atau bahan kimia berbahaya lainnya. Namun, radiasi Sampai taraf tertentu, itu tidak bisa ditoleransi melalui tubuh. Inilah alasan berbagai efek negatif radiasi nuklir.','Antonim dari kata negatif dalam paragraf di atas adalah �',posesif,positif,selektif,agresif,positif,Mudah
Sinonim/Antonim,'Pengumuman hasil seleksi siswa berprestasi ditunda bulan depan.','Sinonim kata ditunda dalam kalimat tersebut adalah ....',dibatalkan,ditangguhkan,dimajukan,dipastikan,ditangguhkan,Mudah
Sinonim/Antonim,' Burung hantu banyak dipiara oleh para petani di wilayah Kabupaten Sleman. Burung hantu sangat membantu petani dalam mengamankan hasil pertanian. Sebagai hewan predator; burung hantu berfungsi sebagai penghabis tikus. ','Kata yang tepat untuk mengganti kata penghabis adalah ....',' Pemberantas   ',' Pemburu   ',' Pemangsa   ',Pengusir,' Pemangsa   ',Sedang
Sinonim/Antonim,'Perhatikan surat di bawah ini !  Madrasah Ibtidaiyah Wonosari Jalan Ampera Nomor 8 Surakarta  Nomor : 08/SD-01/VI/2012 Lampiran : 1 (satu) Perihal : Undangan  Kepada :Yth. Siswa-Siswi Kelas VI MI Wonosari  Dengan hormat, Untuk meningkatkan pengetahuan siswa dalam bidang pertanian dan pelajaran IPA,kami bermaksud mengadakan kegiatan wisata ilmiah. Kegiatan tersebut berupa kunjungan ke Taman Pintar Yogyakarta . Adapun kegiatan tersebut akan dilaksanakan pada:  Hari/Tanggal : Sabtu, 29 September 2012 Pukul : 07.00 - 16.30 WIB Tempat : Taman Pintar Yogyakarta Untuk itu, kami mengundang Bapak/Ibu untuk turut mendampingi putra-putrinya selama mengikuti kegiatan tersebut. Demikianlah undangan ini kami sampaikan. Atas perhatian Bapak/Ibu, kami ucapkan terima kasih.  Surakarta, 21 September 2012 Kepala Madrasah Arif Setiawan, SPd. SD','Kata yang tepat untuk mengganti kata bergaris bawah adalah ....','Semua Siswa-Siswi Kelas VI MI Wonosari','Orang tua Siswa Kelas VI MI Wonosari','Ketua Panitia Study banding','Kepala Laboratorium','Orang tua Siswa Kelas VI MI Wonosari',Sedang
Membaca,' Ardi dan para relawan bergegas menyiapkan barak untuk para pengungsi. Tenda; tikar; dan lampu penerangan segera dia pasang. Tak lupa dapur umum juga dia siapkan. Obat-obatan; selimut; dan pos kesehatan pun telah didirikannya. Lapangan desa yang siang tadi masih lengang kini telah berubah drastis. Hiruk pikuk para relawan bertambah ramai dengan kedatangan para pengungsi. Mereka telah meninggalkan rumah di lereng gunung. Kesehatan jiwa lebih mereka utamakan.',' Latar tempat cerita tersebut adalah .. $',' pos kesehatan',' barak pengungsian',' lapangan desa',' lereng gunung ',' lapangan desa',Mudah
Membaca,' Ibu Kelinci tinggal bersama anaknya di dalam hutan. Mereka tinggal berdekatan dengan keluarga ayam. Suatu hari; Ibu Kelinci ingin pergi ke suatu lembah. Ia berpesan agar anaknya tidak membuka pintu rumah; kecuali untuknya. Agar anaknya tidak salah mengenali; Ibu Kelinci mengajarkan sebuah lagu. Jika lagu itu dinyanyikan di depan pintu; maka Ibu Kelinci yang datang. Namun; tanpa mereka ketahui; ternyata Musang ikut mendengarkan lagu tersebut. Ibu Kelinci akhirnya pergi. Musang segera datang ke depan pintu. Ia menyanyikan lagu yang didengarnya tadi. Mendengar lagu itu; anak kelinci menjadi ragu. Bukankah ibunya baru saja pergi $ Kok ibunya sudah kembali $ Suara yang didengarnya juga tidak seperti suara ibunya. Haruskah ia membuka pintu $ Namun anak kelinci tidak segera membuka pintu. Ia mengintip lewat celah di bawah pintu. Ia melihat sepasang kaki milik musang. Anak kelinci berteriak sehingga Pak Ayam dan keluarganya bedatangan. Musang ketakutan dan segera pergi menuju goa.  ',' Latar tempat cerita tersebut adalah ....',' dalam hutan   ',' dalam goa   ',' depan rumah   ','suatu lembah',' dalam hutan   ',Mudah
Membaca,' Di sebuah hutan; hiduplah beberapa ekor burung. Si Jalak dan Si Pipit namanya. Si Jalak memiliki bulu yang indah dan suara merdu. Entah mengapa Si Jalak itu selalu menyendiri. Beda halnya dengan Si Pipit; walau tidak cantik ia ramah sehingga punya banyak teman. Si Pipit merasa kasihan pada Si Jalak.  $Selamat pagi Jalak. Ayo kita mengelilingi hutan sambil menghirup udara segar! $  $Nanti aku ditembak pemburu karena aku terlalu indah; $ jawab burung jalak sinis. ','Latar yang digunakan dalam cerita tersebut adalah ....',' Suasana   ',' Tempat   ',' Sosial   ',Waktu,' Tempat   ',Mudah
Membaca,' Bel tanda istirahat berbunyi. Anak kelas VI SD Mekar berhamburan menuju kantin. Dana tampak berjalan paling depan.   Aduh... hati-hati dong; Dani   seru Rana menahan sakit.   Maaf; Ran. Aku tidak mau kehabisan pisang goreng lagi;   sahut Dana sambil berlari; Sesampai di kantin; Dana langsung mengambil dua buah pisang goreng. Dilahaplah makanan favoritnya tersebut.   Dana; sebelum makan kamu harus mencuci tangan terlebih dahulu!   Kira mengingatkan Dana.   Jangan sampai perutmu terisi kuman dari tangan yang kotor!   Yori ikut menyahut. Dana tidak memedulikan kata-kata temannya. Terus saja la penuhi mulutnya dengan makanan. Suara sendawa terdengar keras membuat muak teman-temannya. Sejurus kemudian Dana merasakan sakit pada perutnya.\tperih; melilit menjadi satu. la mengaduh tidak\tTeman-temannya mulai mengerubuti.   Ayo kita bawa Dana ke UKS!   seru Rana.   Ayo.; cepat!   seru Yori dan Kira bersamaan. Rana segera mengambil minyak kayu putih. Dioleskannya minyak ke perut Dana; Sejenak Dana bisa bernapas lega.',' Tokoh utama pada cerita tersebut adalah',' Kira',' Yon',' Dana',' Rana ',' Dana',Mudah
Membaca,' Ibu Kelinci tinggal bersama anaknya di dalam hutan. Mereka tinggal berdekatan dengan keluarga ayam. Suatu hari; Ibu Kelinci ingin pergi ke suatu lembah. Ia berpesan agar anaknya tidak membuka pintu rumah; kecuali untuknya. Agar anaknya tidak salah mengenali; Ibu Kelinci mengajarkan sebuah lagu. Jika lagu itu dinyanyikan di depan pintu; maka Ibu Kelinci yang datang. Namun; tanpa mereka ketahui; ternyata Musang ikut mendengarkan lagu tersebut. Ibu Kelinci akhirnya pergi. Musang segera datang ke depan pintu. Ia menyanyikan lagu yang didengarnya tadi. Mendengar lagu itu; anak kelinci menjadi ragu. Bukankah ibunya baru saja pergi $ Kok ibunya sudah kembali $ Suara yang didengarnya juga tidak seperti suara ibunya. Haruskah ia membuka pintu $ Namun anak kelinci tidak segera membuka pintu. Ia mengintip lewat celah di bawah pintu. Ia melihat sepasang kaki milik musang. Anak kelinci berteriak sehingga Pak Ayam dan keluarganya bedatangan. Musang ketakutan dan segera pergi menuju goa. ',' Tokoh utama cerita tersebut adalah ....',' Ibu kelinci   ',' Anak kelinci   ',' Musang   ','Pak ayam',' Ibu kelinci   ',Mudah
Membaca,'Tidak semua orang memiliki bakat menulis. Kegemaran menulis yang dimiliki oleh anak bungsu dari pasangan Pak Tohari dan Ibu Kanthi ini sudah muncul sejak berusia 8 tahun. Kemahirannya tersebut bisa jadi merupakan warisan dari ayahnya. Banyak orang mengatakan bahwa ayahnya adalah seorang penulis yang hebat. Hasil karya ayahnya dinilai mampu membahagiakan hati orang-orang yang membacanya. Meskipun masih duduk di kelas 6 Madrasah Ibtidaiyah, Ahmad sudah berhasil menghasilkan belasan buku cerita yang dikarangnya sendiri. Selain menghasilkan beberapa buku cerita, Ahmad juga selalu menjadi juara dalam setiap lomba yang diikutinya. Pernah ia menjadi juara dalam lomba menulis cerita anak tingkat kota madya dan lomba menulis puisi anak tingkat provinsi Jawa Tengah. Jika dihitung, jumlah piagam dan piala yang berderet di dalam lemari kaca sudah mencapai lebih dari tiga puluh buah. Semua prestasi yang diraih Ahmad tersebut tentu saja diperoleh melalui perjuangan dan ketekunan. Dorongan dari seorang ayah dan kemauan yang kuat dalam dirinya untuk tetap menulis memang sangat berpengaruh. Ia berharap kelak bisa menjadi seorang penulis terkenal seperti ayahnya. Ia pun berharap tulisan-tulisannya bisa bermanfaat bagi semua orang, khususnya anak-anak Indonesia.','Siapakah nama tokoh utama pada paragraf pertama ?','Anak bungsu','Pak Tohari',Ahmad,'Ibu Kanthi',Ahmad,Mudah
Membaca,'Eka : (Menghampiri Doni dengan menyandang tas sekolah di punggung) �Don, ayo berangkat! Nanti keburu hujan!� Doni : (Memindahkan bola dengan kedua tangannya).�Males, Ka. Masa, dari dulu sampai sekarang les melulu. Kapan main bolanya?� Eka : �Jangan begitu, Don! Les itu kebutuhan siapa, coba? Kebutuhan kita sendiri, �kan?� Doni : �Masa, dari dulu hanya latihan mengerjakan soal-soal terus. Bosan, ah.� Eka : �Itu semua untuk mempersiapkan kita menghadapi US dan UN. Kalau sampai nggak lulus, baru tahu rasa kau, Don!� Doni : �Haaah, peduli amat! Sana, sana, pergi sendiri aja! Aku mau main bola dulu!� Eka : �Oke, kalau begitu. Aku berangkat dulu.� Doni : �Silakan! Selamat mengerjakan soal-soal, Ka!� (Ha ... ha ... ha) Sesaat kemudian....  Ibu : (Keluar dari dalam rumah) �Ini hari Rabu, pukul setengah tiga. Bukankah kamu seharusnya les IPA , Don? Kenapa tidak masuk!� Doni : (Menggaruk-garuk kepala) �Anu, Bu ... libur! Ya, libur! Diganti minggu depan.� Ibu : �Benar katamu, Don? Ibu dengar, tadi Eka ke sini menghampirimu? Kenapa Eka masuk, sedang kamu tidak?� Doni : (Menundukkan kepala) �Hmm ... Doni ingin main bola dulu, Bu.� Ibu : (Membelai kepala Doni) �Doni, main bola besok sore �kan bisa. Sekarang les dulu. Sana, siap-siap! Nanti Ibu antar!� Doni : (Masuk sambil bersungut-sungut) �Baik. Tapi nanti Doni dibelikan gado-gado di warung Bu Ida ya, Bu.� Ibu : (Menggandeng Doni) �Tentu, sayang.�','Tokoh utama dalam teks drama di atas adalah ....',Eka,Doni,Ibu,'Bu Ida',Doni,Mudah
Membaca,'Eka : (Menghampiri Doni dengan menyandang tas sekolah di punggung) �Don, ayo berangkat! Nanti keburu hujan!� Doni : (Memindahkan bola dengan kedua tangannya).�Males, Ka. Masa, dari dulu sampai sekarang les melulu. Kapan main bolanya?� Eka : �Jangan begitu, Don! Les itu kebutuhan siapa, coba? Kebutuhan kita sendiri, �kan?� Doni : �Masa, dari dulu hanya latihan mengerjakan soal-soal terus. Bosan, ah.� Eka : �Itu semua untuk mempersiapkan kita menghadapi US dan UN. Kalau sampai nggak lulus, baru tahu rasa kau, Don!� Doni : �Haaah, peduli amat! Sana, sana, pergi sendiri aja! Aku mau main bola dulu!� Eka : �Oke, kalau begitu. Aku berangkat dulu.� Doni : �Silakan! Selamat mengerjakan soal-soal, Ka!� (Ha ... ha ... ha) Sesaat kemudian....  Ibu : (Keluar dari dalam rumah) �Ini hari Rabu, pukul setengah tiga. Bukankah kamu seharusnya les IPA , Don? Kenapa tidak masuk!� Doni : (Menggaruk-garuk kepala) �Anu, Bu ... libur! Ya, libur! Diganti minggu depan.� Ibu : �Benar katamu, Don? Ibu dengar, tadi Eka ke sini menghampirimu? Kenapa Eka masuk, sedang kamu tidak?� Doni : (Menundukkan kepala) �Hmm ... Doni ingin main bola dulu, Bu.� Ibu : (Membelai kepala Doni) �Doni, main bola besok sore �kan bisa. Sekarang les dulu. Sana, siap-siap! Nanti Ibu antar!� Doni : (Masuk sambil bersungut-sungut) �Baik. Tapi nanti Doni dibelikan gado-gado di warung Bu Ida ya, Bu.� Ibu : (Menggandeng Doni) �Tentu, sayang.�','Latar waktu dalam teks drama di atas adalah ....','pagi hari','tengah hari','siang hari','sore hari','siang hari',Mudah
Membaca,'Harun: �Adi kenapa terlambat Berlatih,? � Adi: �tidur.� Faris: �Mau latihan kok malah tidur?� Adi: �Ya, aku baru mau berlatih.� Ikbal: �Tadi kamu ditegur pelatih, ya? � Adi: �Ya, aku ditegur agar tidak terlambat lagi. � Harun: �Lain kali berangkatlah lebih awal.� Faris: �Ya, betul. Ayo, kita segera pulang! Hari telah senja. �(Mereka berjalan bersamasama)','Tokoh utama dari drama tersebut adalah �',Harun,Adi,Faris,Ikbal,Adi,Mudah
Membaca,'Harun: �Adi kenapa terlambat Berlatih,? � Adi: �tidur.� Faris: �Mau latihan kok malah tidur?� Adi: �Ya, aku baru mau berlatih.� Ikbal: �Tadi kamu ditegur pelatih, ya? � Adi: �Ya, aku ditegur agar tidak terlambat lagi. � Harun: �Lain kali berangkatlah lebih awal.� Faris: �Ya, betul. Ayo, kita segera pulang! Hari telah senja. �(Mereka berjalan bersamasama)','Drama pada soal tersebut menggunakan latar �',Tempat,Suasana,Sosial,Waktu,Waktu,Mudah
Membaca,'Bacalah teks cerita berikut ini. Seekor induk itik melihat sebutir telur di dekat pohon besar. Ia mengamatinya sejenak, kemudian ia membawa pulang telur itu. �Ini pasti telur burung elang yang membuat sarang di pohon itu�, pikirnya. �Akan kuerami telur ini agar menetas menjadi burung elang perkasa,� lanjutnya dalam hati. Beberapa waktu kemudian, tumbuhlah burung elang dari telur yang dierami induk itik tersebut. Suatu pagi, anak burung itu berkata �Bu, ajari aku terbang seperti anak burung lainnya.� Induk itik pun menjawab, �Nak, ibu ibu tidak bisa terbang, berlatihlah sendiri, suatu saat kamu akan bisa terbang keliling dunia seperti burung rajawali.� Akhirnya, anak burung itupun pandai terbang. Tetapi hatinya sedih, ketika melihat ke bawah ibunya sendirian melihatnya terbang. Anak burung itu tak tega menyaksikan ibunya. Akhirnya ia memutuskan tidak lagi terbang meninggalkan ibunya sendirian.','Tokoh utama penggalan cerita tersebut adalah ....','induk itik','anak burung','burung elang','burung rajawali','induk itik',Mudah
Membaca,'Ruang gedung terlihat gelap dan hening. Yunan tak menghentikan langkahnya. Tidak ada suara yang terdengar. Gerimis kecil menambah sepi sekelilingnya. Tidak ada benda yang dapat terlihat, sebab gelap dan pengapnya ruangan. Namun, ia tetap tidak menyerah, karena rasa penasarannya.','Latar dalam cerita tersebut adalah ....',tempat,waktu,sosial,suasana,suasana,Mudah
