@relation Dataset_soal_bhs_indo_sd_completed-REV1-b

@attribute jenissoal {Memaknai,Sinonim/Antonim,Membaca,Analisa,Paragraf,Membandingkan,Melengkapi,Sastra,Mengurutkan,'Tata Penulisan',Iklan/Laporan/Pidato}
@attribute uraiansoal string
@attribute pertanyaansoal string
@attribute opsi1soal string
@attribute opsi2soal string
@attribute opsi3soal string
@attribute opsi4soal string
@attribute kuncijawabansoal string
@attribute kategorisoal {Mudah,Sedang,Sulit}

@data
Memaknai,' Induk Ayam dan Burung Elang hidup berdampingan dengan rukun. Keduanya saling menolong dalam keseharian. Suatu hari Induk Ayam mendatangi Elang. Malam itu; Induk Ayam mendapat undangan pesta. Ia bermaksud meminjam cincin yang indah milik elang. Sambil menyerahkan cincin; Elang berpesan;  $Hati-hati; benda ini sangat berharga bagiku. Kalau hilang; nyawa anak-anakmu sebagai jaminannya. $ Induk Ayam sangat menikmati pesta yang meriah itu. Ia menjadi pusat perhatian kaum ayam. Semua mengagumi cincin yang dipakainya. Ia menari mengikuti alunan musik bersama teman-temannya. Semaraknya suasna membuat Induk Ayam lupa pada anak serta cincin di cakarnya. Karena lelah; ia terlelap tidur. Keesokan hari; ia teringat pada cincin Burung Elang. Induk Ayam menengok kakinya.  $Hah; celaka aku! $ Dengan panik; dikoreknya setiap gundukan tanah. Ia mencari-cari cincin itu. Karena lelah; akhirnya ia melapor kepada Burung Elang. Burung Elang sangat murka. Ia mengancam akan mengambil anak-anak ayam. Sampai kini; induk ayam masih terus mengais tanah. Ia berusaha melindungi anak-anaknya dari buruan elang.  Induk Ayam menengok kakinya; $Hah; celaka aku! $ ',' Maksud pernyataan dalam penggalan cerita tersebut adalah ....',' induk ayam mengalami kehilangan saat pesta malam itu   ',' cincin yang dipakai induk ayam hilang dari cakarnya   ',' induk ayam terkejut karena cincin yang dipakainya musnah   ','burung elang mengancam induk ayam yang menghilangkan cincin',' induk ayam terkejut karena cincin yang dipakainya musnah   ',Sedang
Memaknai,' Jeko pergi ke hutan malam itu; ia mernakai topeng. Jeko memanjat pohon dengan rnembawa jaring untuk menangkap Goji; gajah sahabatnya. Jeko akan mengambil gading milik Goji Gading tersebut akan dijualnya. Tak larna kemudian; Goji dan Monyi. monvet kecil lewat. jeko bersiap-siap melempar jaringnya. Tiba-tiba; ranting yang dipanjat Jeko patah. la jatuh. Jeko mengalami luka-Iuka. Monyi segera menolong Jeko. Monyi membuka topeng Jeko. Goji dan Monyi mengantarkan Jeko pulang ke rurnah Jeko. Jeko kecewa tefah berniat jahat kepada Goji. Setelah sampai di rumah Jeko; Monyi segera mengobati luka Jeko. Pagi harinya; Goji mencarikan buah-buahan untuk Jeko. Sejak saat itu Jeko berjanji akan menyayangi Goji dan Monyi;',' Maksud pernyataan yang dicetak tebal pada cerita tersebut adalah',' Jeko kecewa tidak dapat berbuat baik kepada Goji sahabatnya.',' Jeko menyesal akan mengambil gading milik Goji; gajah sahabatnya.',' Goji kecewa mengetahui niat jahat Jeko yang akan mengambil gadingnya.',' Goji menyesalkan sikap Jeko; sahabat baiknya; yang akan mencelakainya',' Jeko menyesal akan mengambil gading milik Goji; gajah sahabatnya.',Sedang
Sinonim/Antonim,' Suara radio tetangga sebelah sangat keras pada malam hari.',' Antonim kata keras pada kalimat tersebut adalah',' pelan',' lunak',' kaku',' kencang',' pelan',Mudah
Sinonim/Antonim,' Harrnan telah rnemenangkan pertandingan bulu tangkis tingkat kecamatan tiga kali berturut�turut. la jemawa dengan prestasi yang diperolehnya.',' Sinonim kata yang dicetak tebal adalah',' teledor',' angkuh',' gegabah',' culas',' angkuh',Mudah
Sinonim/Antonim,' Pohon itu kelihatan pendek.',' Antonim kata pendek dalam kalimat tersebut adalah ....',' besar   ',' tinggi   ',' panjang   ',rimbun,' tinggi   ',Mudah
Sinonim/Antonim,'Siswa yang berprestasi mendapat hadiah dari bapak/ibu guru. ','Antonim kata hadiah adalah ....',' Celaan   ',' Teguran   ',' Hukuman   ',Peringatan,' Hukuman   ',Mudah
Sinonim/Antonim,'Asrnan tergolong anak bongsor di kelasnya. ','Antonim kata bongsor pada kalimat tersebut adalah',' kerdil',' kecil',' pendek',' kurus',' kerdil',Mudah
Sinonim/Antonim,' Burung hantu banyak dipiara oleh para petani di wilayah Kabupaten Sleman. Burung hantu sangat membantu petani dalam mengamankan hasil pertanian. Sebagai hewan predator; burung hantu berfungsi sebagai penghabis tikus. ','Kata yang tepat untuk mengganti kata penghabis adalah ....',' Pemberantas   ',' Pemburu   ',' Pemangsa   ',Pengusir,' Pemangsa   ',Sedang
Membaca,' Ardi dan para relawan bergegas menyiapkan barak untuk para pengungsi. Tenda; tikar; dan lampu penerangan segera dia pasang. Tak lupa dapur umum juga dia siapkan. Obat-obatan; selimut; dan pos kesehatan pun telah didirikannya. Lapangan desa yang siang tadi masih lengang kini telah berubah drastis. Hiruk pikuk para relawan bertambah ramai dengan kedatangan para pengungsi. Mereka telah meninggalkan rumah di lereng gunung. Kesehatan jiwa lebih mereka utamakan.',' Latar tempat cerita tersebut adalah .. $',' pos kesehatan',' barak pengungsian',' lapangan desa',' lereng gunung ',' lapangan desa',Mudah
Membaca,' Ibu Kelinci tinggal bersama anaknya di dalam hutan. Mereka tinggal berdekatan dengan keluarga ayam. Suatu hari; Ibu Kelinci ingin pergi ke suatu lembah. Ia berpesan agar anaknya tidak membuka pintu rumah; kecuali untuknya. Agar anaknya tidak salah mengenali; Ibu Kelinci mengajarkan sebuah lagu. Jika lagu itu dinyanyikan di depan pintu; maka Ibu Kelinci yang datang. Namun; tanpa mereka ketahui; ternyata Musang ikut mendengarkan lagu tersebut. Ibu Kelinci akhirnya pergi. Musang segera datang ke depan pintu. Ia menyanyikan lagu yang didengarnya tadi. Mendengar lagu itu; anak kelinci menjadi ragu. Bukankah ibunya baru saja pergi $ Kok ibunya sudah kembali $ Suara yang didengarnya juga tidak seperti suara ibunya. Haruskah ia membuka pintu $ Namun anak kelinci tidak segera membuka pintu. Ia mengintip lewat celah di bawah pintu. Ia melihat sepasang kaki milik musang. Anak kelinci berteriak sehingga Pak Ayam dan keluarganya bedatangan. Musang ketakutan dan segera pergi menuju goa.  ',' Latar tempat cerita tersebut adalah ....',' dalam hutan   ',' dalam goa   ',' depan rumah   ','suatu lembah',' dalam hutan   ',Mudah
Membaca,' Di sebuah hutan; hiduplah beberapa ekor burung. Si Jalak dan Si Pipit namanya. Si Jalak memiliki bulu yang indah dan suara merdu. Entah mengapa Si Jalak itu selalu menyendiri. Beda halnya dengan Si Pipit; walau tidak cantik ia ramah sehingga punya banyak teman. Si Pipit merasa kasihan pada Si Jalak.  $Selamat pagi Jalak. Ayo kita mengelilingi hutan sambil menghirup udara segar! $  $Nanti aku ditembak pemburu karena aku terlalu indah; $ jawab burung jalak sinis. ','Latar yang digunakan dalam cerita tersebut adalah ....',' Suasana   ',' Tempat   ',' Sosial   ',Waktu,' Tempat   ',Mudah
Membaca,' Bel tanda istirahat berbunyi. Anak kelas VI SD Mekar berhamburan menuju kantin. Dana tampak berjalan paling depan.   Aduh... hati-hati dong; Dani   seru Rana menahan sakit.   Maaf; Ran. Aku tidak mau kehabisan pisang goreng lagi;   sahut Dana sambil berlari; Sesampai di kantin; Dana langsung mengambil dua buah pisang goreng. Dilahaplah makanan favoritnya tersebut.   Dana; sebelum makan kamu harus mencuci tangan terlebih dahulu!   Kira mengingatkan Dana.   Jangan sampai perutmu terisi kuman dari tangan yang kotor!   Yori ikut menyahut. Dana tidak memedulikan kata-kata temannya. Terus saja la penuhi mulutnya dengan makanan. Suara sendawa terdengar keras membuat muak teman-temannya. Sejurus kemudian Dana merasakan sakit pada perutnya.\tperih; melilit menjadi satu. la mengaduh tidak\tTeman-temannya mulai mengerubuti.   Ayo kita bawa Dana ke UKS!   seru Rana.   Ayo.; cepat!   seru Yori dan Kira bersamaan. Rana segera mengambil minyak kayu putih. Dioleskannya minyak ke perut Dana; Sejenak Dana bisa bernapas lega.',' Tokoh utama pada cerita tersebut adalah',' Kira',' Yon',' Dana',' Rana ',' Dana',Mudah
Membaca,' Ibu Kelinci tinggal bersama anaknya di dalam hutan. Mereka tinggal berdekatan dengan keluarga ayam. Suatu hari; Ibu Kelinci ingin pergi ke suatu lembah. Ia berpesan agar anaknya tidak membuka pintu rumah; kecuali untuknya. Agar anaknya tidak salah mengenali; Ibu Kelinci mengajarkan sebuah lagu. Jika lagu itu dinyanyikan di depan pintu; maka Ibu Kelinci yang datang. Namun; tanpa mereka ketahui; ternyata Musang ikut mendengarkan lagu tersebut. Ibu Kelinci akhirnya pergi. Musang segera datang ke depan pintu. Ia menyanyikan lagu yang didengarnya tadi. Mendengar lagu itu; anak kelinci menjadi ragu. Bukankah ibunya baru saja pergi $ Kok ibunya sudah kembali $ Suara yang didengarnya juga tidak seperti suara ibunya. Haruskah ia membuka pintu $ Namun anak kelinci tidak segera membuka pintu. Ia mengintip lewat celah di bawah pintu. Ia melihat sepasang kaki milik musang. Anak kelinci berteriak sehingga Pak Ayam dan keluarganya bedatangan. Musang ketakutan dan segera pergi menuju goa. ',' Tokoh utama cerita tersebut adalah ....',' Ibu kelinci   ',' Anak kelinci   ',' Musang   ','Pak ayam',' Ibu kelinci   ',Mudah
Membaca,' Ardi dan para relawan bergegas menyiapkan barak untuk para pengungsi. Tenda; tikar; dan lampu penerangan segera dia pasang. Tak lupa dapur umum juga dia siapkan. Obat-obatan; selimut; dan pos kesehatan pun telah didirikannya. Lapangan desa yang siang tadi masih lengang kini telah berubah drastis. Hiruk pikuk para relawan bertambah ramai dengan kedatangan para pengungsi. Mereka telah meninggalkan rumah di lereng gunung. Kesehatan jiwa lebih mereka utamakan.',' Watak Ardi pada cerita tersebut adalah',' pandai',' cekatan',' sabar',' disiplin',' cekatan',Sedang
Membaca,' Kera sedang asyik makan pisang diatas pohon. Kancil yang kebetulan lewat di tepi hutan; melihat dan ingin ikut menikmati pisang tersebut. Ia pun berteriak meminta beberapa buah pisang kepada sang Kera; tetapi Kera menolak berbagi.Kancil paham watak sang Kera. Jadi ia tidak kaget jika dirinya tidak diberi pisang. Kancil pun mencari akal untuk mendapatkan pisang itu.  Kancil mulai melempari Kera dengan batu kerikil. Kera pun marah dan membalas lemparan batu kerikil dengan lemparan pisang. Kancil pura-pura mengelak dan terjatuh; sambil terus melemparkan batu kerikil. Akhirnya pisang yang dilempar si Kera itu dikumpulkan dan dimakan oleh Kancil. Kera kaget menyadari pisang di pohon telah habis dia lempar ke Kancil. Kera pun meminta maaf ke Kancil dan meminta beberapa pisang dilempar kembali kepadanya karena dia masih lapar. Kancil tersenyum dengan santai dia ajak Kera makan pisang bersama',' Bagaimana watak Kancil dalam cerita diatas $',' bertanggungjawab','  suka berbagi   ',' terbuka ','  jujur','  suka berbagi   ',Sedang
Membaca,' Ibu Kelinci tinggal bersama anaknya di dalam hutan. Mereka tinggal berdekatan dengan keluarga ayam. Suatu hari; Ibu Kelinci ingin pergi ke suatu lembah. Ia berpesan agar anaknya tidak membuka pintu rumah; kecuali untuknya. Agar anaknya tidak salah mengenali; Ibu Kelinci mengajarkan sebuah lagu. Jika lagu itu dinyanyikan di depan pintu; maka Ibu Kelinci yang datang. Namun; tanpa mereka ketahui; ternyata Musang ikut mendengarkan lagu tersebut. Ibu Kelinci akhirnya pergi. Musang segera datang ke depan pintu. Ia menyanyikan lagu yang didengarnya tadi. Mendengar lagu itu; anak kelinci menjadi ragu. Bukankah ibunya baru saja pergi $ Kok ibunya sudah kembali $ Suara yang didengarnya juga tidak seperti suara ibunya. Haruskah ia membuka pintu $ Namun anak kelinci tidak segera membuka pintu. Ia mengintip lewat celah di bawah pintu. Ia melihat sepasang kaki milik musang. Anak kelinci berteriak sehingga Pak Ayam dan keluarganya bedatangan. Musang ketakutan dan segera pergi menuju goa. ',' Watak anak kelinci pada cerita tersebut adalah  $',' peduli   ',' cerdik   ',' ragu   ',takut,' cerdik   ',Sedang
Membaca,' Di sebuah hutan; hiduplah beberapa ekor burung. Si Jalak dan Si Pipit namanya. Si Jalak memiliki bulu yang indah dan suara merdu. Entah mengapa Si Jalak itu selalu menyendiri. Beda halnya dengan Si Pipit; walau tidak cantik ia ramah sehingga punya banyak teman. Si Pipit merasa kasihan pada Si Jalak.  $Selamat pagi Jalak. Ayo kita mengelilingi hutan sambil menghirup udara segar! $  $Nanti aku ditembak pemburu karena aku terlalu indah; $ jawab burung jalak sinis. ','Watak burung pipit dalam cerita tersebut adalah ....',' Sabar   ',' Penolong   ',' Perhatian   ',Penyayang,' Perhatian   ',Sedang
Membaca,'Kebiasaan makan makanan bergizi dengan kadar seimbang menyebabkan tubuh anak mengalami pertumbuhan dan perkembangan yang baik. Selain itu tubu hanak yang sehat juga mempunyai daya kekebalan yang baik terhadap serangan berbagai penyakit. Orang tua harus memenuhi kebutuhan zat gizi anak-anaknya. Tubuh anak mudah terserang berbagai macam penyakit.. Pemenuhan gizi itu dimulai dengan pemberian ASI saat anak masih di usia balita. Semakin bertambah usia; maka semakin bertambah pula kebutuhan gizi seorang anak','Kalimat dalam paragraf di atas yang tidak padu adalah',' Kebutuhan gizi anak akan semakin bertambah seiring semakin bertambah usianya.',' Kebutuhan gizi anak baru terpenuhi saat anak beranjak dewasa.',' Tubuh anak mudah terserang berbagai macam penyakit.',' Pertumbuhan dan perkembangan anak akan semakin baik',' Tubuh anak mudah terserang berbagai macam penyakit.',Sedang
Membaca,'Kebiasaan makan makanan bergizi dengan kadar seimbang menyebabkan tubuh anak mengalami pertumbuhan dan perkembangan yang baik. Selain itu tubuh anak yang sehat juga mempunyai daya kekebalan yang baik terhadap serangan berbagai penyakit.','Apa yang terjadi jika pola hidup sehat tidak dibiasakan sejak kecil $',' \tKebutuhan gizi anak akan semakin bertambah seiring semakin bertambah usianya.',' Kebutuhan gizi anak baru terpenuhi saat anak beranjak dewasa.',' Tubuh anak mudah terserang berbagai macam penyakit.',' Pertumbuhan dan perkembangan anak akan semakin baik.',' Tubuh anak mudah terserang berbagai macam penyakit.',Sedang
Membaca,' Penyerbukan tanaman salak bisa dibantu oleh manusia. Bunga jantan salak berada pada pohon yang lain. Penyerbukan dilakukan; dengan cara bunga jantan dipetik terlebih dahulu; Setelah itu; serbuk bunga jantan ditaburkan pada bunga betina. Hal ini dilakukan untuk mernaksimalkan hasil panen salak; Mengapa penyerbukan tanaman salak dibantu manusia $',' Penyerbukan tanaman salak dibantu rnanusia karena',' Tanaman salak tidak bisa melakukan penyerbukan sendiri.',' Bunga jantan harus dipetik terlebih dahulu dari bunga betina.',' Panen maksimal jika bunga betina ditaburkan pada bunga jantan.',' Bunga jantan tanaman salak berada pada tanaman salak yang lain.','Bunga jantan tanaman salak berada pada tanaman salak yang lain.',Sedang
Membaca,' Membiarkan lampu tetap menyala pada siang hari yang terang menyebabkan listrik boros. Televisi yang menyala meskipun tidak ditonton juga memboroskan listrik. Membiarkan ruang ber-AC tidak ditutup juga menyebabkan boros listrik. itulah beberapa hal yang menyebabkan penggunaan listrik menjadi boros.',' Kalimat utama paragraf tersebut adalah','Membiarkan lampu tetap menyala pada siang hari yang terang menyebabkan listrik boros.','  \tTelevisi yang menyala; Meskipun tidak ditonton juga memboroskan listrik.',' Membiarkan ruang ber-AC tidak ditutup juga menyebabkan boros Iistrik.',' Itulah beberapa hal yang menyebabkan penggunaan listrik menjadi boros','Itulah beberapa hal yang menyebabkan penggunaan listrik menjadi boros',Sedang
Membaca,' Siswa SD Sembada melaksanakan kerja bakti. Siswa laki-laki kelas empat; lima; dan enam membersihkan rumput di halaman belakang; Siswa perempuan ke(as empat; lima; dan enam . membersihkan musala; perpustakaan; dan kantin. Siswa dari kelas lain bertanggung jawab membersihkan kelasnya masing-masing.',' Pernyataan yang sesuai dengan isi paragraf tersebut adalah',' Siswa laki-laki kelas lima bertugas membersihkan kantin.',' Siswa kelas tiga bertugas membersihkan ruang kelas tiga.',' Siswa kelas empat bertanggung jawab membersihkan musala dan kantin.',' Siswa perernpuan kelas enam bertugas membersihkan halaman belakang.',' Siswa kelas tiga bertugas membersihkan ruang kelas tiga.',Sedang
Membaca,' Bacalah teks cerita berikut Beru adalah seekor beruang putih yang besar. Beru berkeliling hutan mencari makanan Beberapa waktu kemudian; Beru sampai di pinggir sungai ia mencari apel atau buah lainnya. Beru tidak menemukannya. Beru kecewa; perutnya sangat lapar. Tiba-tiba ia mencium aroma madu Dengan semangat Beru mencari sumber aroma madu tersebut. Beru berjalan sampai di pohon besar dan menemukan sarang lebah di sana.   Hai Beru; sedang apa kamu $   tanya Loli Ratu Lebah.   Aku sangat lapar; Aku ingin makan madumu;   jawab Beru.   Enak saja kamu tinggal\tMadu ini kami buat dengan perjuangan;   kata Loh;   Baiklah; apa yang bisa aku bantu untuk membuat madu $ Aku ingin merasakan madu itu;   kata Beru. Loli terkejut mendengar jawaban Beru. Loli mengajukan syarat kepada Beru. Beru harus menanarn beragam bunga di sekitar sungai. Beru juga harus menjaga tanaman bunga tersebut. Sebagai imbalannya; Loli memberi Beru madu setiap han. ',' Bagaimana usaha yang dilakukan Beru agar mendapat madu dan Loli $ Usaha yang dilakukan Beru adalah',' meminta madu kepada Loli',' mencari sumber aroma madu',' menanam beragam bunga dan menjaganya',' menanam bunga dan menjaga sungai',' menanam beragam bunga dan menjaganya',Sedang
Membaca,' Bel tanda istirahat berbunyi. Anak kelas VI SD Mekar berhamburan menuju kantin. Dana tampak berjalan paling depan.   Aduh... hati-hati dong; Dani   seru Rana menahan sakit.   Maaf; Ran. Aku tidak mau kehabisan pisang goreng lagi;   sahut Dana sambil berlari; Sesampai di kantin; Dana langsung mengambil dua buah pisang goreng. Dilahaplah makanan favoritnya tersebut.   Dana; sebelum makan kamu harus mencuci tangan terlebih dahulu!   Kira mengingatkan Dana.   Jangan sampai perutmu terisi kuman dari tangan yang kotor!   Yori ikut menyahut. Dana tidak memedulikan kata-kata temannya. Terus saja la penuhi mulutnya dengan makanan. Suara sendawa terdengar keras membuat muak teman-temannya. Sejurus kemudian Dana merasakan sakit pada perutnya.\tperih; melilit menjadi satu. la mengaduh tidak\tTeman-temannya mulai mengerubuti.   Ayo kita bawa Dana ke UKS!   seru Rana.   Ayo.; cepat!   seru Yori dan Kira bersamaan. Rana segera mengambil minyak kayu putih. Dioleskannya minyak ke perut Dana; Sejenak Dana bisa bernapas lega.',' Tema cerita tersebut adalah',' kegemaran',' kesehatan',' lingkungan',' kegiatan',' kesehatan',Sedang
Membaca,' Belanda ingin mengalahkan Diponegoro namun belum berhasil. Belanda berbohong untuk mengalahkannya. Pimpinan Belanda; pura-pura mengajak Diponegoro berunding di Magelang. Akan tetapi; Diponegoro ditangkap. Beliau diasingkan ke Batavia; kemudian Manado. Akhirnya Diponegoro dipindahkan ke Makasar sampai wafat 8 Juni 1855.','  Bagaimana cara Belanda mengalahkan Diponegoro $ Cara Belanda mengalahkan Diponegoro dengan .... ',' penangkapan   ',' penipuan   ',' pengasingan   ',penculikan,' penipuan   ',Sedang
Membaca,' Setiap sekolah menggalakkan gerakan literasi dengan beberapa kegiatan. Salah satu diantaranya adalah membaca buku sepuluh menit sebelum pelajaran dimulai. Hal ini bertujuan untuk menumbuhkan kebiasaan membaca. Dengan membaca; pengetahuan dan wawasan siswa semakin luas.','  Mengapa literasi perlu digalakkan $ Literasi perlu digalakkan .... ',' agar dapat membaca buku sebelum pelajaran dimulai   ',' untuk menumbuhkan kebiasaan dalam membaca   ',' supaya pengetahuan membaca kita semakin banyak   ','agar wawasan buku yang kita baca semakin luas',' untuk menumbuhkan kebiasaan dalam membaca   ',Sedang
Membaca,' Kita dapat membuat kompas dengan cara sederhana. Cara membuatnya dengan menimbun sampah dedaunan di dalam lubang. Sebaiknya; lubang dibuat di tempat teduh. Hal ini dilakukan untuk mempercepat proses pembusukan.',' Jika timbunan sampah dedaunan tidak diletakkan di tempat teduh yang terjadi adalah ....',' tempat teduh akan mempercepat pembusukan   ',' kelembaban udara mempercepat dedaunan busuk   ',' sampah dedaunan tidak akan cepat membusuk   ','sampah dedaunan tidak akan pernah busuk',' sampah dedaunan tidak akan cepat membusuk   ',Sedang
Membaca,' Cara membuat permainan tradisional bakiak raksasa sangat sederhana. Kita perlu menyediakan dua bilah kayu yang panjangnya kira-kira 1;5 meter. Setiap kayu tersebut dibuat seperti sandal raksasa. Jepitan kaki dibuat dari karet dengan jarak antar jepitan setengah meter.',' Kalimat utama paragraf tersebut adalah ....',' cara membuat permainan tradisional bakiak raksasa sangat sederhana   ',' kita perlu menyediakan dua bilah kayu yang panjangnya kira-kira 1;5 meter   ',' setiap kayu tersebut dibuat alas kaki dengan ukuran yang sangat besar   ','jepitan kaki dibuat dari karet dengan jarak antar jepitan setengah meter',' cara membuat permainan tradisional bakiak raksasa sangat sederhana   ',Sedang
Membaca,' kita wajib mengerjakan pekerjaan rumah (PR) yang diberikan guru. Segeralah mengerjakan PR dan hindari menunda pekerjaan. Jangan malas mengerjakan PR. Jangan menghindari PR yang sulit. Kita harus optimistis bisa mengerjakan PR sesulit apapun.',' Pernyataan yang sesuai dengan isi paragraf tersebut adalah ....',' kita tidak boleh menghindari pekerjaan rumah yang diberikan guru   ',' pekerjaan rumah (PR) merupakan tugas yang diberikan guru di rumah   ',' optimistis akan membawa kita berhasil dengan mengerjakan PR yang sulit   ','menunda mengerjakan PR berarti mempersulit tugas yang harus dikerjakan',' kita tidak boleh menghindari pekerjaan rumah yang diberikan guru   ',Sedang
Membaca,' Beberapa tahapan perlu diperhatikan saat kita becocok tanam. Kita perlu menyiapkan media tanam yang baik. Pemilihan bibit akan memengaruhi pertumbuhan tanaman. Pemupukan perlu dilakukan agar tanaman tumbuh subur. Pengairan yang cukup membuat tanaman terpenuhi kebutuhan airnya. Hama harus diberantas agar tidak mengganggu tanaman.',' Pernyataan yang sesuai dengan isi teks tersebut adalah ....',' pemupukan yang berlebihan membuat pertumbuhan tanaman lebih cepat   ',' hama tidak akan muncul lagi setelah dilakukan pemberantasan   ',' air merupakan salah satu unsur yang sangat dibutuhkan tanaman   ','pemilihan bibit unggul dilakukan agar tanaman terhindar dari hama',' air merupakan salah satu unsur yang sangat dibutuhkan tanaman   ',Sedang
Membaca,' Indonesia memiliki ragam bahasa daerah. Dari Sabang sampai Merauke memiliki ragam bahasa daerah masing- masig. Keragaman tersebut terkadang menjadi kendala dalam berinteraksi bila tidak menguasai. Oleh karena itu;  Bahasa Indonesia harus menjadi pemersatu dari berbagai ragam bahasa di Indonesia. ','  Bagaimana cara mudah berkomunikasi dengan sesama walau berasal dari ragam bahasa yang berbeda di Indonesia $ ',' Harus menguasai berbagai bahasa daerah   ',' Meminta orang lain untuk menterjemahkan   ',' Menggunakan Bahasa Indonesia   ','Memahami keragaman bahasa',' Menggunakan Bahasa Indonesia   ',Sedang
